Customer_ID_Numeric,Category,Revenue_In_Category,Profit_In_Category,Quantity_In_Category,R_Score,Segment,M_Score_Category,Segment_Category
38,Clothing & Apparel,503.16,159.48,3,1,At_Risk,4.0,High_Value
39,Home & Furniture,1443.64,386.41,2,3,Loyal,5.0,Loyal
40,Clothing & Apparel,327.11,137.77,1,2,Lost,3.0,At_Risk
41,Electronics,205.0,35.63,1,5,Potential,1.0,At_Risk
42,Accessories,369.85,86.49,5,2,At_Risk,4.0,High_Value
43,Clothing & Apparel,349.89,148.08,3,1,Lost,3.0,At_Risk
44,Accessories,182.56,37.02,2,5,At_Risk,2.0,Potential
45,Home & Furniture,301.9,36.53,2,3,At_Risk,1.0,At_Risk
46,Electronics,3846.9,761.16,3,3,Loyal,5.0,Loyal
47,Clothing & Apparel,550.83,116.51,3,3,Loyal,4.0,Loyal
48,Clothing & Apparel,122.75,47.1,5,3,At_Risk,1.0,At_Risk
49,Clothing & Apparel,411.48,114.45,1,2,At_Risk,4.0,High_Value
50,Electronics,1153.84,105.99,2,3,Loyal,4.0,Loyal
51,Clothing & Apparel,328.1,132.93,2,5,Potential,3.0,Potential
52,Home & Furniture,439.7,117.04,1,4,Potential,2.0,Potential
53,Clothing & Apparel,68.77,29.64,1,2,Lost,1.0,Lost
54,Clothing & Apparel,43.44,11.6,2,5,At_Risk,1.0,At_Risk
55,Home & Furniture,612.6,120.12,1,4,Potential,3.0,Potential
56,Home & Furniture,2147.64,275.89,3,2,High_Value,5.0,High_Value
57,Clothing & Apparel,348.33,121.62,1,3,At_Risk,3.0,Loyal
58,Electronics,407.44,46.45,1,5,Potential,1.0,At_Risk
59,Electronics,2084.1,272.17,2,1,High_Value,5.0,High_Value
60,Clothing & Apparel,102.96,32.49,1,1,Lost,1.0,Lost
61,Home & Furniture,248.45,61.95,1,2,Lost,1.0,Lost
62,Accessories,242.98,65.79,2,3,At_Risk,3.0,Loyal
63,Clothing & Apparel,245.8,72.93,2,1,Lost,2.0,Lost
64,Home & Furniture,692.18,193.09,2,2,High_Value,3.0,At_Risk
65,Home & Furniture,622.48,196.01,2,5,Potential,3.0,Potential
66,Accessories,134.2,63.51,1,5,Potential,2.0,Potential
66,Clothing & Apparel,470.58,193.7,1,5,Potential,4.0,Champions
67,Clothing & Apparel,981.57,397.53,3,3,Loyal,5.0,Loyal
68,Home & Furniture,3500.68,993.02,4,2,High_Value,5.0,High_Value
69,Clothing & Apparel,139.8,43.82,1,5,At_Risk,1.0,At_Risk
70,Electronics,1812.68,155.73,4,2,High_Value,5.0,High_Value
71,Home & Furniture,1812.54,606.34,2,2,High_Value,5.0,High_Value
72,Accessories,266.1,98.1,2,5,Potential,4.0,Champions
73,Home & Furniture,772.68,97.75,3,3,Loyal,3.0,Loyal
74,Clothing & Apparel,616.47,215.53,3,2,At_Risk,4.0,High_Value
75,Home & Furniture,898.0,246.34,2,4,Champions,4.0,Champions
76,Electronics,779.15,133.9,1,1,High_Value,3.0,At_Risk
77,Electronics,641.24,123.18,1,3,Loyal,2.0,At_Risk
78,Clothing & Apparel,731.24,196.62,4,5,Champions,5.0,Champions
79,Accessories,182.02,87.29,2,3,At_Risk,2.0,At_Risk
80,Electronics,385.05,42.21,1,1,At_Risk,1.0,Lost
81,Home & Furniture,705.42,105.96,1,4,Champions,3.0,Potential
82,Home & Furniture,922.65,125.32,3,5,Champions,4.0,Champions
83,Clothing & Apparel,227.16,85.46,2,1,Lost,2.0,Lost
84,Clothing & Apparel,394.47,110.19,1,3,Loyal,4.0,Loyal
85,Home & Furniture,342.55,85.98,1,5,Potential,2.0,Potential
86,Electronics,655.98,98.8,2,1,High_Value,2.0,Lost
87,Electronics,1396.42,245.62,2,5,Champions,4.0,Champions
88,Accessories,228.32,42.63,2,5,Potential,3.0,Potential
89,Clothing & Apparel,160.63,44.53,1,1,Lost,2.0,Lost
90,Electronics,424.08,35.63,1,2,At_Risk,1.0,Lost
91,Clothing & Apparel,94.65,38.75,1,5,At_Risk,1.0,At_Risk
92,Accessories,56.39,19.93,1,5,At_Risk,1.0,At_Risk
93,Home & Furniture,245.64,51.63,1,3,At_Risk,1.0,At_Risk
94,Home & Furniture,690.76,99.86,2,1,High_Value,3.0,At_Risk
95,Accessories,61.12,24.41,1,3,At_Risk,1.0,At_Risk
96,Clothing & Apparel,232.4,70.98,1,3,Loyal,2.0,At_Risk
96,Home & Furniture,402.88,51.39,1,3,Loyal,2.0,At_Risk
97,Electronics,246.99,32.53,1,4,Potential,1.0,At_Risk
98,Clothing & Apparel,357.51,101.92,3,5,Potential,3.0,Potential
99,Accessories,467.42,138.75,2,2,At_Risk,5.0,High_Value
100,Home & Furniture,4635.42,1536.8,6,4,Champions,5.0,Champions
101,Clothing & Apparel,728.86,325.52,2,2,High_Value,5.0,High_Value
102,Electronics,2438.13,462.72,3,4,Champions,5.0,Champions
103,Clothing & Apparel,705.15,298.92,3,5,Champions,5.0,Champions
104,Clothing & Apparel,632.46,237.0,2,1,High_Value,4.0,High_Value
105,Home & Furniture,1996.53,397.07,3,5,Champions,5.0,Champions
106,Accessories,690.4,300.3,4,3,Loyal,5.0,Loyal
107,Clothing & Apparel,654.62,141.69,2,3,Loyal,4.0,Loyal
108,Home & Furniture,611.41,117.41,1,1,At_Risk,3.0,At_Risk
109,Clothing & Apparel,356.39,140.73,1,5,Potential,3.0,Potential
110,Electronics,2098.29,179.84,3,4,Champions,5.0,Champions
111,Electronics,583.9,90.6,2,2,At_Risk,2.0,Lost
112,Accessories,71.56,31.17,1,3,At_Risk,1.0,At_Risk
113,Clothing & Apparel,93.44,19.47,1,2,Lost,1.0,Lost
114,Electronics,3088.4,337.0,4,5,Champions,5.0,Champions
114,Home & Furniture,705.26,172.49,2,5,Champions,3.0,Potential
115,Accessories,198.3,91.63,2,4,Potential,3.0,Potential
116,Accessories,182.62,83.04,1,3,At_Risk,2.0,At_Risk
117,Home & Furniture,291.09,42.46,1,3,At_Risk,1.0,At_Risk
118,Electronics,633.2,117.59,1,4,Champions,2.0,Potential
119,Clothing & Apparel,177.32,37.76,1,5,At_Risk,2.0,Potential
120,Clothing & Apparel,1337.52,479.64,3,1,High_Value,5.0,High_Value
121,Clothing & Apparel,425.83,98.74,1,4,Champions,4.0,Champions
121,Electronics,525.47,97.75,1,4,Champions,2.0,Potential
122,Accessories,90.9,32.88,1,1,Lost,1.0,Lost
123,Home & Furniture,945.7,131.55,2,3,Loyal,4.0,Loyal
124,Accessories,449.18,197.96,2,3,Loyal,5.0,Loyal
125,Clothing & Apparel,197.2,73.3,1,5,Potential,2.0,Potential
126,Electronics,525.12,51.81,3,1,At_Risk,2.0,Lost
127,Clothing & Apparel,137.54,32.91,1,5,At_Risk,1.0,At_Risk
128,Clothing & Apparel,148.41,52.87,3,3,At_Risk,1.0,At_Risk
129,Clothing & Apparel,1358.08,337.35,4,4,Champions,5.0,Champions
130,Electronics,429.36,82.06,3,1,At_Risk,1.0,Lost
131,Clothing & Apparel,1244.55,252.3,3,4,Champions,5.0,Champions
132,Clothing & Apparel,103.84,29.73,1,1,Lost,1.0,Lost
133,Clothing & Apparel,61.42,17.6,2,5,At_Risk,1.0,At_Risk
134,Clothing & Apparel,49.97,21.83,1,2,Lost,1.0,Lost
135,Home & Furniture,1243.11,422.5,3,4,Champions,4.0,Champions
136,Accessories,341.34,121.82,3,1,Lost,4.0,High_Value
137,Clothing & Apparel,43.54,10.18,2,4,At_Risk,1.0,At_Risk
138,Clothing & Apparel,719.58,226.12,3,5,Champions,5.0,Champions
139,Home & Furniture,2135.8,728.76,4,4,Champions,5.0,Champions
140,Home & Furniture,1118.82,201.88,2,3,Loyal,4.0,Loyal
141,Clothing & Apparel,538.64,166.28,2,3,Loyal,4.0,Loyal
142,Clothing & Apparel,184.39,71.48,1,2,Lost,2.0,Lost
143,Home & Furniture,897.23,308.5,1,3,Loyal,4.0,Loyal
144,Accessories,428.1,141.17,2,1,At_Risk,5.0,High_Value
145,Electronics,846.17,129.24,1,2,High_Value,3.0,At_Risk
146,Home & Furniture,1238.92,349.09,4,1,High_Value,4.0,High_Value
147,Clothing & Apparel,89.0,34.38,2,3,At_Risk,1.0,At_Risk
148,Accessories,489.84,110.58,4,3,Loyal,5.0,Loyal
149,Electronics,568.07,80.84,1,2,At_Risk,2.0,Lost
150,Clothing & Apparel,168.88,60.29,2,2,Lost,2.0,Lost
151,Home & Furniture,1009.89,129.3,3,3,Loyal,4.0,Loyal
152,Electronics,911.64,114.18,2,4,Champions,3.0,Potential
153,Home & Furniture,205.16,48.8,1,3,At_Risk,1.0,At_Risk
154,Home & Furniture,475.05,159.26,1,5,Potential,2.0,Potential
155,Clothing & Apparel,459.16,194.72,4,5,Potential,4.0,Champions
156,Home & Furniture,539.57,185.75,1,4,Potential,2.0,Potential
157,Home & Furniture,1119.68,160.65,2,5,Champions,4.0,Champions
158,Clothing & Apparel,345.66,98.5,1,3,At_Risk,3.0,Loyal
159,Clothing & Apparel,209.28,89.4,1,5,Potential,2.0,Potential
160,Electronics,273.95,32.07,1,5,Potential,1.0,At_Risk
161,Accessories,183.62,82.37,2,4,At_Risk,2.0,Potential
162,Home & Furniture,824.04,168.8,2,1,High_Value,3.0,At_Risk
163,Clothing & Apparel,299.99,86.72,1,5,Potential,3.0,Potential
164,Clothing & Apparel,903.96,206.93,4,1,High_Value,5.0,High_Value
165,Electronics,375.35,59.87,1,3,Loyal,1.0,At_Risk
166,Home & Furniture,889.5,129.82,2,1,High_Value,4.0,High_Value
167,Clothing & Apparel,246.9,105.8,1,5,Potential,2.0,Potential
168,Accessories,248.14,72.99,1,2,Lost,4.0,High_Value
169,Clothing & Apparel,157.62,53.47,1,2,Lost,2.0,Lost
170,Electronics,1673.49,200.55,3,2,High_Value,4.0,High_Value
171,Home & Furniture,204.48,53.58,2,4,Potential,1.0,At_Risk
172,Electronics,458.31,59.48,1,1,At_Risk,2.0,Lost
173,Accessories,213.02,56.16,2,1,Lost,3.0,At_Risk
174,Electronics,893.09,89.23,1,5,Champions,3.0,Potential
175,Clothing & Apparel,404.12,85.03,2,5,Potential,4.0,Champions
176,Clothing & Apparel,114.01,48.32,1,4,At_Risk,1.0,At_Risk
177,Clothing & Apparel,350.89,126.27,1,5,Potential,3.0,Potential
178,Home & Furniture,888.77,132.95,1,1,High_Value,4.0,High_Value
179,Clothing & Apparel,165.25,50.86,1,2,Lost,2.0,Lost
180,Electronics,281.96,46.6,1,3,At_Risk,1.0,At_Risk
181,Home & Furniture,1230.56,257.32,2,4,Champions,4.0,Champions
182,Home & Furniture,1676.4,408.84,2,3,Loyal,5.0,Loyal
183,Clothing & Apparel,306.36,102.58,3,3,At_Risk,3.0,Loyal
184,Clothing & Apparel,297.2,105.5,1,2,High_Value,3.0,At_Risk
184,Home & Furniture,433.52,128.58,1,2,High_Value,2.0,Lost
185,Clothing & Apparel,215.7,83.62,3,5,Potential,2.0,Potential
186,Clothing & Apparel,299.5,109.74,1,2,Lost,3.0,At_Risk
187,Accessories,432.82,176.86,2,4,Potential,5.0,Champions
188,Electronics,393.39,50.03,1,3,Loyal,1.0,At_Risk
189,Accessories,371.6,103.9,2,3,Loyal,4.0,Loyal
190,Clothing & Apparel,1271.55,317.23,3,2,High_Value,5.0,High_Value
191,Accessories,95.57,34.24,1,1,Lost,1.0,Lost
192,Electronics,867.95,71.12,1,4,Champions,3.0,Potential
192,Home & Furniture,820.48,215.0,2,4,Champions,3.0,Potential
193,Clothing & Apparel,645.6,256.89,3,4,Champions,4.0,Champions
194,Accessories,865.2,364.53,5,5,Champions,5.0,Champions
195,Electronics,227.68,42.63,2,1,Lost,1.0,Lost
196,Electronics,533.26,84.81,1,1,At_Risk,2.0,Lost
197,Electronics,1677.62,235.53,2,2,High_Value,4.0,High_Value
198,Clothing & Apparel,126.53,35.37,1,1,Lost,1.0,Lost
199,Accessories,187.96,57.37,2,4,At_Risk,3.0,Potential
200,Home & Furniture,709.35,164.07,1,3,Loyal,3.0,Loyal
201,Clothing & Apparel,38.21,16.76,1,2,Lost,1.0,Lost
202,Electronics,701.19,91.25,1,1,High_Value,2.0,Lost
203,Clothing & Apparel,27.0,5.54,1,4,At_Risk,1.0,At_Risk
204,Clothing & Apparel,775.58,241.39,2,1,High_Value,5.0,High_Value
205,Home & Furniture,722.62,145.36,1,4,Champions,3.0,Potential
206,Clothing & Apparel,1815.3,644.51,6,4,Champions,5.0,Champions
207,Home & Furniture,1190.2,258.48,2,5,Champions,4.0,Champions
208,Home & Furniture,1080.56,242.31,4,5,Champions,4.0,Champions
209,Home & Furniture,1159.26,189.81,2,4,Champions,4.0,Champions
210,Home & Furniture,635.23,143.08,1,5,Champions,3.0,Potential
211,Home & Furniture,2257.29,771.81,3,4,Champions,5.0,Champions
212,Electronics,1032.18,205.81,2,5,Champions,4.0,Champions
213,Accessories,253.79,102.36,1,5,Potential,4.0,Champions
214,Accessories,330.36,129.95,2,4,Potential,4.0,Champions
215,Clothing & Apparel,1170.68,325.96,4,3,Loyal,5.0,Loyal
216,Accessories,192.11,80.43,1,1,Lost,3.0,At_Risk
217,Accessories,112.72,39.1,1,2,Lost,1.0,Lost
218,Clothing & Apparel,343.24,137.08,4,5,Potential,3.0,Potential
219,Clothing & Apparel,1203.21,432.75,3,5,Champions,5.0,Champions
220,Electronics,1181.12,132.09,2,3,Loyal,4.0,Loyal
221,Electronics,910.08,143.96,6,5,Champions,3.0,Potential
222,Clothing & Apparel,329.42,68.16,2,2,Lost,3.0,At_Risk
223,Home & Furniture,1595.67,210.23,3,2,High_Value,5.0,High_Value
224,Home & Furniture,753.89,177.22,1,5,Champions,3.0,Potential
225,Home & Furniture,549.61,93.23,1,4,Potential,2.0,Potential
226,Accessories,301.3,68.34,2,4,Champions,4.0,Champions
226,Home & Furniture,1078.02,332.77,2,4,Champions,4.0,Champions
227,Home & Furniture,644.16,192.91,4,3,Loyal,3.0,Loyal
228,Accessories,59.01,27.6,1,1,Lost,1.0,Lost
229,Clothing & Apparel,268.84,116.89,1,4,Potential,2.0,Potential
230,Home & Furniture,2122.76,657.04,4,2,High_Value,5.0,High_Value
231,Accessories,99.29,23.99,1,5,At_Risk,1.0,At_Risk
232,Electronics,3424.95,399.82,3,1,High_Value,5.0,High_Value
233,Electronics,1090.8,168.53,2,2,High_Value,4.0,High_Value
234,Home & Furniture,56.57,9.76,1,3,At_Risk,1.0,At_Risk
235,Electronics,308.8,57.86,1,4,Potential,1.0,At_Risk
236,Clothing & Apparel,164.85,47.87,1,5,At_Risk,2.0,Potential
237,Accessories,161.52,43.16,2,4,At_Risk,2.0,Potential
238,Accessories,52.68,15.08,1,5,At_Risk,1.0,At_Risk
239,Electronics,1841.55,349.34,3,3,Loyal,5.0,Loyal
240,Accessories,132.76,42.96,1,3,At_Risk,2.0,At_Risk
241,Electronics,3457.0,644.83,4,5,Champions,5.0,Champions
242,Home & Furniture,397.3,99.01,2,2,At_Risk,2.0,Lost
243,Accessories,349.56,76.01,2,5,Potential,4.0,Champions
244,Clothing & Apparel,67.66,22.18,2,1,Lost,1.0,Lost
245,Clothing & Apparel,616.26,130.97,2,5,Potential,4.0,Champions
246,Electronics,710.68,135.66,4,1,High_Value,3.0,At_Risk
247,Clothing & Apparel,129.8,27.97,2,4,At_Risk,1.0,At_Risk
248,Electronics,422.67,83.46,1,4,Potential,1.0,At_Risk
249,Clothing & Apparel,333.77,87.42,1,4,Potential,3.0,Potential
250,Home & Furniture,1942.53,628.47,3,2,High_Value,5.0,High_Value
251,Electronics,2507.97,235.95,3,1,High_Value,5.0,High_Value
252,Clothing & Apparel,242.97,64.38,1,2,Lost,2.0,Lost
253,Home & Furniture,1384.26,313.27,2,4,Champions,4.0,Champions
254,Clothing & Apparel,635.72,191.38,2,3,Loyal,4.0,Loyal
255,Clothing & Apparel,425.46,143.74,2,4,Potential,4.0,Champions
256,Clothing & Apparel,429.33,174.49,1,5,Potential,4.0,Champions
257,Electronics,590.81,103.03,1,2,At_Risk,2.0,Lost
258,Home & Furniture,2369.91,632.02,3,5,Champions,5.0,Champions
259,Clothing & Apparel,331.99,72.51,1,4,Potential,3.0,Potential
260,Electronics,688.87,128.19,1,3,Loyal,2.0,At_Risk
261,Clothing & Apparel,82.96,17.79,2,2,Lost,1.0,Lost
262,Clothing & Apparel,603.16,209.75,2,2,At_Risk,4.0,High_Value
263,Clothing & Apparel,630.62,190.43,2,4,Potential,4.0,Champions
264,Accessories,139.42,50.25,2,2,Lost,2.0,Lost
265,Home & Furniture,1780.12,464.44,2,1,High_Value,5.0,High_Value
266,Clothing & Apparel,1006.92,260.43,3,4,Champions,5.0,Champions
267,Electronics,717.48,107.1,2,2,High_Value,3.0,At_Risk
268,Electronics,499.78,63.74,1,5,Potential,2.0,Potential
269,Home & Furniture,324.31,64.38,1,5,Potential,1.0,At_Risk
270,Electronics,631.97,76.32,1,3,Loyal,2.0,At_Risk
271,Clothing & Apparel,526.08,151.57,2,5,Potential,4.0,Champions
272,Electronics,689.46,60.73,2,2,High_Value,2.0,Lost
273,Accessories,62.02,26.38,1,2,Lost,1.0,Lost
274,Electronics,369.08,32.55,1,1,Lost,1.0,Lost
275,Electronics,1944.78,261.56,2,5,Champions,5.0,Champions
276,Clothing & Apparel,165.92,60.91,2,3,At_Risk,2.0,At_Risk
277,Accessories,486.66,121.98,2,1,At_Risk,5.0,High_Value
278,Electronics,644.29,60.66,1,1,High_Value,2.0,Lost
279,Home & Furniture,624.32,179.05,1,5,Potential,3.0,Potential
280,Accessories,166.5,45.95,1,5,At_Risk,2.0,Potential
281,Electronics,673.4,75.61,2,5,Champions,2.0,Potential
282,Home & Furniture,880.61,283.53,1,4,Champions,4.0,Champions
283,Clothing & Apparel,343.96,82.84,2,4,Potential,3.0,Potential
284,Clothing & Apparel,679.74,158.36,2,1,High_Value,4.0,High_Value
285,Electronics,824.62,116.52,1,3,Loyal,3.0,Loyal
286,Electronics,409.37,60.77,1,5,Potential,1.0,At_Risk
287,Accessories,124.63,59.59,1,3,At_Risk,2.0,At_Risk
288,Home & Furniture,790.08,202.11,1,4,Champions,3.0,Potential
289,Clothing & Apparel,448.71,116.77,1,5,Potential,4.0,Champions
290,Clothing & Apparel,213.45,80.97,1,4,Potential,2.0,Potential
291,Home & Furniture,1662.98,321.96,2,1,High_Value,5.0,High_Value
292,Accessories,399.1,136.23,2,3,Loyal,4.0,Loyal
293,Home & Furniture,450.89,93.23,1,3,Loyal,2.0,At_Risk
294,Clothing & Apparel,233.37,46.97,1,1,Lost,2.0,Lost
295,Accessories,106.06,42.57,1,5,At_Risk,1.0,At_Risk
296,Clothing & Apparel,300.92,98.13,4,3,At_Risk,3.0,Loyal
297,Accessories,304.44,90.92,2,2,Lost,4.0,High_Value
298,Electronics,1032.48,202.97,1,3,Loyal,4.0,Loyal
299,Clothing & Apparel,80.64,31.78,2,1,Lost,1.0,Lost
300,Home & Furniture,907.01,148.79,1,5,Champions,4.0,Champions
301,Clothing & Apparel,396.39,163.01,1,4,Potential,4.0,Champions
302,Electronics,2119.2,222.14,3,4,Champions,5.0,Champions
303,Clothing & Apparel,157.02,46.76,1,2,Lost,2.0,Lost
304,Electronics,843.51,110.89,1,1,High_Value,3.0,At_Risk
305,Clothing & Apparel,468.9,140.95,5,4,Potential,4.0,Champions
306,Clothing & Apparel,911.88,292.22,3,3,Loyal,5.0,Loyal
307,Electronics,276.91,45.9,1,3,At_Risk,1.0,At_Risk
308,Clothing & Apparel,350.28,145.58,2,4,Potential,3.0,Potential
309,Electronics,384.21,57.5,1,5,Potential,1.0,At_Risk
310,Clothing & Apparel,335.32,117.58,1,4,Potential,3.0,Potential
311,Electronics,957.44,132.73,1,2,High_Value,3.0,At_Risk
312,Home & Furniture,654.84,139.01,1,4,Champions,3.0,Potential
313,Home & Furniture,681.47,174.23,1,2,High_Value,3.0,At_Risk
314,Electronics,2090.64,269.95,4,2,High_Value,5.0,High_Value
315,Home & Furniture,1134.39,348.73,1,2,High_Value,4.0,High_Value
316,Accessories,63.17,27.29,1,1,Lost,1.0,Lost
317,Electronics,555.24,56.34,1,1,At_Risk,2.0,Lost
318,Electronics,1546.92,308.8,2,4,Champions,4.0,Champions
319,Clothing & Apparel,63.85,26.95,1,2,Lost,1.0,Lost
320,Accessories,72.11,33.39,1,4,At_Risk,1.0,At_Risk
321,Electronics,281.1,26.75,1,5,Potential,1.0,At_Risk
322,Accessories,365.72,132.18,2,4,Potential,4.0,Champions
323,Accessories,244.86,87.38,3,5,Potential,3.0,Potential
324,Clothing & Apparel,531.64,221.75,2,1,At_Risk,4.0,High_Value
325,Accessories,117.62,21.65,2,4,At_Risk,1.0,At_Risk
326,Home & Furniture,1084.94,144.77,2,2,High_Value,4.0,High_Value
327,Clothing & Apparel,30.93,13.56,1,2,Lost,1.0,Lost
328,Electronics,1132.54,186.91,1,1,High_Value,4.0,High_Value
329,Clothing & Apparel,283.84,110.68,2,1,Lost,3.0,At_Risk
330,Electronics,1050.06,145.85,2,4,Champions,4.0,Champions
331,Electronics,1693.22,235.46,2,3,Loyal,4.0,Loyal
332,Home & Furniture,621.4,153.98,1,1,At_Risk,3.0,At_Risk
333,Accessories,122.05,35.71,1,3,At_Risk,1.0,At_Risk
334,Home & Furniture,560.19,73.93,1,1,At_Risk,2.0,Lost
335,Home & Furniture,522.04,135.84,1,3,Loyal,2.0,At_Risk
336,Electronics,1737.4,258.42,4,3,Loyal,5.0,Loyal
337,Clothing & Apparel,120.84,28.9,2,1,Lost,1.0,Lost
338,Clothing & Apparel,91.24,39.99,1,2,Lost,1.0,Lost
339,Accessories,935.64,361.94,4,3,Loyal,5.0,Loyal
340,Electronics,719.78,90.72,2,5,Champions,3.0,Potential
341,Clothing & Apparel,152.76,44.92,3,1,Lost,2.0,Lost
342,Clothing & Apparel,2673.48,1171.48,6,3,Loyal,5.0,Loyal
343,Clothing & Apparel,71.38,26.6,1,2,Lost,1.0,Lost
344,Accessories,223.6,44.91,1,4,Potential,3.0,Potential
345,Home & Furniture,654.45,129.51,1,2,High_Value,3.0,At_Risk
346,Home & Furniture,430.77,116.16,1,5,Potential,2.0,Potential
347,Clothing & Apparel,750.18,248.68,2,4,Champions,5.0,Champions
348,Electronics,287.5,50.35,2,4,Potential,1.0,At_Risk
349,Clothing & Apparel,291.61,91.17,1,2,Lost,3.0,At_Risk
350,Clothing & Apparel,614.18,162.21,2,2,At_Risk,4.0,High_Value
351,Accessories,428.08,150.19,2,3,Loyal,5.0,Loyal
352,Clothing & Apparel,455.6,92.61,2,1,At_Risk,4.0,High_Value
353,Clothing & Apparel,326.05,136.37,1,4,Potential,3.0,Potential
354,Electronics,755.0,84.66,1,5,Champions,3.0,Potential
355,Clothing & Apparel,352.44,107.94,1,5,Potential,3.0,Potential
356,Electronics,2876.25,392.03,3,3,Loyal,5.0,Loyal
357,Electronics,667.75,93.33,1,4,Champions,2.0,Potential
358,Clothing & Apparel,155.42,35.96,2,2,Lost,2.0,Lost
359,Home & Furniture,3306.84,1148.93,4,4,Champions,5.0,Champions
360,Clothing & Apparel,101.48,29.24,2,1,Lost,1.0,Lost
361,Clothing & Apparel,609.68,205.6,2,5,Potential,4.0,Champions
362,Electronics,618.68,102.57,1,5,Potential,2.0,Potential
363,Accessories,55.26,12.43,1,2,Lost,1.0,Lost
364,Home & Furniture,1431.2,389.73,2,3,Loyal,4.0,Loyal
365,Home & Furniture,3918.08,714.95,4,5,Champions,5.0,Champions
366,Home & Furniture,153.73,41.35,1,2,Lost,1.0,Lost
367,Clothing & Apparel,225.18,98.72,2,5,Champions,2.0,Potential
367,Home & Furniture,2566.98,515.73,3,5,Champions,5.0,Champions
368,Electronics,833.02,112.88,1,5,Champions,3.0,Potential
369,Home & Furniture,441.62,124.76,1,2,At_Risk,2.0,Lost
370,Electronics,625.5,105.79,2,3,Loyal,2.0,At_Risk
371,Accessories,116.76,55.31,1,5,At_Risk,1.0,At_Risk
372,Home & Furniture,1021.69,314.23,1,5,Champions,4.0,Champions
373,Electronics,1712.98,274.82,2,2,High_Value,4.0,High_Value
374,Accessories,223.14,53.54,2,3,At_Risk,3.0,Loyal
375,Electronics,1839.68,180.92,2,2,High_Value,5.0,High_Value
376,Electronics,204.66,22.67,1,2,Lost,1.0,Lost
377,Clothing & Apparel,1675.9,655.64,5,5,Champions,5.0,Champions
378,Accessories,171.54,41.15,1,4,At_Risk,2.0,Potential
379,Accessories,251.08,98.15,4,3,Loyal,4.0,Loyal
379,Clothing & Apparel,327.46,130.43,1,3,Loyal,3.0,Loyal
380,Clothing & Apparel,833.24,223.04,2,3,Loyal,5.0,Loyal
381,Clothing & Apparel,42.36,12.78,1,2,Lost,1.0,Lost
382,Home & Furniture,932.68,256.02,2,5,Champions,4.0,Champions
